INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.12700475752353668
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.12602150440216064
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.1270887404680252
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.12964166700839996
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.1359931230545044
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.14061015844345093
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.14200004935264587
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.12649783492088318
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.13073861598968506
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.13229899108409882
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.13401074707508087
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.1349123865365982
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.12970830500125885
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.12775251269340515
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.13140073418617249
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.13609345257282257
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.13785365223884583
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.1371753215789795
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.14061270654201508
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.1469251960515976
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.1512553095817566
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.15495988726615906
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.15692108869552612
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.16298796236515045
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.1646905392408371
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.16305851936340332
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.16215495765209198
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.14663444459438324
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.14975793659687042
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.15208648145198822
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.14938054978847504
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.14952971041202545
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.15197357535362244
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.15349049866199493
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.16103623807430267
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.16164247691631317
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.1613442599773407
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.1594729870557785
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.15971873700618744
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.16078175604343414
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.16230963170528412
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.15975268185138702
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.1585884541273117
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.16012424230575562
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.1624656319618225
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.1642886847257614
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.16815105080604553
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.12438144534826279
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.12721624970436096
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.1248396784067154
